альбом;название_песни;слово;лемма;часть_речи;род;число;падеж;время;лицо;наклонение;вид;залог;степень;возвратность;одушевленность;переходность;имена_собственные;таксономия;подтема_инструментов;таксономия_прилагательных
Курара, 2006;Листопад;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;буду;быть;VERB;;единственное;;будущее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Листопад;рад;рад;ADJS;мужской;единственное;;;;;;;;;;;;;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;всего;весь;ADVPRO;средний;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;лишь;лишь;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;только;только;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;просто;просто;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;сентябрь;сентябрь;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;в;в;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;твоей;твой;APRO;женский;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;квартире;квартира;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;всего;весь;ADVPRO;средний;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;лишь;лишь;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;только;только;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;просто;просто;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;сентябрь;сентябрь;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;в;в;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;твоей;твой;APRO;женский;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;квартире;квартира;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;всего;весь;ADVPRO;средний;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;лишь;лишь;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;только;только;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;просто;просто;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;листопад;листопад;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Листопад;сентябрь;сентябрь;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Листопад;в;в;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Листопад;твоей;твой;APRO;женский;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Листопад;квартире;квартира;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Курара, 2006;Полина;За;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;сколько;сколько;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;секунд;секунда;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;упадет;упасть;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;слеза;слеза;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;сколько;сколько;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;минут;минута;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;постараешься;постараться;VERB;;единственное;;будущее;2;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;выжить;выжить;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;Заранеё;заранеё;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;выжечь;выжечь;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;кисти;кисть;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;слова;слово;NOUN;средний;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Полина;больше;большой;COMP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;никто;никто;NPRO;;единственное;именительный;;;;;;;;;;;;;
Курара, 2006;Полина;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Курара, 2006;Полина;закрылся;закрыться;VERB;мужской;единственное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;нижний;нижний;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Курара, 2006;Полина;замок;замок;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;Ключ;ключ;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;потерян;потерянный;ADJS;мужской;единственное;;;;;;;;;;;;;;
Курара, 2006;Полина;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Полина;нет;нет;PRED;;;;настоящее;;;;;;;;;;;;
Курара, 2006;Полина;дубликата;дубликат;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;косыми;косой;ADJF;;множественное;творительный;;;;;;;;;;;;;
Курара, 2006;Полина;заплатами;заплата;NOUN;женский;множественное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;сердце;сердце;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;орёт;орать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Курара, 2006;Полина;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;Всевышнего;всевышний;ADJF;мужской;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Полина;Вышить;вышить;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;петлёй;петля;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;конец;конец;NOUN;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;фильма;фильм;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;схватиться;схватиться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;рукою;рука;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;титры;титр;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Полина;выплыть;выплыть;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;наверх;наверх;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;Задохнуться;задохнуться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;луной;луна;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Полина;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;краешек;краешек;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;крыши;крыша;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;вцепившись;вцепиться;GRND;;;;прошедшее;;;совершенный;;;;;непереходный;;;;
Курара, 2006;Полина;смотреть;смотреть;INFN;;;;;;;несовершенный;;;;;переходный;;;;
Курара, 2006;Полина;За;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;сколько;сколько;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;секунд;секунда;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;сосчитать;сосчитать;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;звезду;звезда;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;сколько;сколько;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;секунд;секунда;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;сосчитать;сосчитать;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;всю;весь;APRO;женский;единственное;винительный;;;;;;;;;;;;;
Курара, 2006;Полина;картину;картина;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;Заранеё;заранеё;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;выжечь;выжечь;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Полина;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;кисти;кисть;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;судьбу;судьба;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;ты;ты;NPRO;;единственное;именительный;;2;;;;;;;;;;;
Курара, 2006;Полина;только;только;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Полина;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Полина;плачь;плакать;VERB;;единственное;;;;повелительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Полина;всё;всё;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Полина;в;в;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Полина;порядке;порядок;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Полина;Полина;полина;NOUN;женский;единственное;именительный;;;;;;;;одушевлённое;;имена_лиц;;;
Курара, 2006;Журавли;Мутное;мутный;ADJF;средний;единственное;именительный;;;;;;;;;;;;;
Курара, 2006;Журавли;море;море;NOUN;средний;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;спят;спать;VERB;;множественное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;облака;облако;NOUN;средний;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;белое;белый;ADJF;средний;единственное;именительный;;;;;;;;;;;;;цвет
Курара, 2006;Журавли;солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;белые;белые;NOUN;;множественное;именительный;;;;;;;;одушевлённое;;;;;
Курара, 2006;Журавли;птицы;птица;NOUN;женский;множественное;именительный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;Серая;серый;ADJF;женский;единственное;именительный;;;;;;;;;;;;;цвет
Курара, 2006;Журавли;кошка;кошка;NOUN;женский;единственное;именительный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;накрасит;накрасить;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;ресницы;ресница;NOUN;женский;множественное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;срежет;срезать;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;три;три;NUMR;;;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;карты;карта;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;плюнет;плюнуть;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;в;в;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;стакан;стакан;NOUN;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;инструменты;посуда;
Курара, 2006;Журавли;Скользкий;скользкий;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Курара, 2006;Журавли;октябрь;октябрь;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;напивается;напиваться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;виснет;виснуть;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;скрипит;скрипеть;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;узлами;узел;NOUN;мужской;множественное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;покрывается;покрываться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;инеем;иней;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;Снег;снег;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;материалы;;
Курара, 2006;Журавли;может;мочь;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;таять;таять;INFN;;;;;;;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;погодой;погода;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;дождливой;дождливый;ADJF;женский;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Журавли;свет;свет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;может;мочь;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;падать;падать;INFN;;;;;;;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;но;но;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;только;только;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;вниз;вниз;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;Медленно;медленно;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;слепо;слепо;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;по;по;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;ветру;ветер;NOUN;мужской;единственное;дательный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;летят;лететь;VERB;;множественное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;журавли;журавль;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;тех;тот;APRO;;множественное;родительный;;;;;;;;;;;;;
Курара, 2006;Журавли;кассетах;кассета;NOUN;женский;множественное;предложный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;останется;остаться;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;капля;капля;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;любви;любовь;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;За;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;нами;мы;NPRO;;множественное;творительный;;1;;;;;;;;;;;
Курара, 2006;Журавли;лето;лето;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;нами;мы;NPRO;;множественное;творительный;;1;;;;;;;;;;;
Курара, 2006;Журавли;топить;топить;INFN;;;;;;;несовершенный;;;;;переходный;;;;
Курара, 2006;Журавли;корабли;корабль;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Курара, 2006;Журавли;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;краем;край;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;света;свет;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;выходим;выходить;VERB;;множественное;;будущее;1;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;Точным;точный;ADJF;мужской;единственное;творительный;;;;;;;;;;;;;
Курара, 2006;Журавли;жестом;жест;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;укажешь;указать;VERB;;единственное;;будущее;2;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;дождь;дождь;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;можно;можно;PRED;;;;настоящее;;;;;;;;;;;;
Курара, 2006;Журавли;промокнуть;промокнуть;INFN;;;;;;;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;а;а;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;можно;можно;PRED;;;;настоящее;;;;;;;;;;;;
Курара, 2006;Журавли;умыться;умыться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;Старой;старый;ADJF;женский;единственное;родительный;;;;;;;;;;;;;
Курара, 2006;Журавли;собаке;собака;NOUN;женский;единственное;дательный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;сегодня;сегодня;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;спится;спаться;VERB;;единственное;;настоящее;;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;старые;старый;ADJF;;множественное;именительный;;;;;;;;;;;;;
Курара, 2006;Журавли;дети;ребёнок;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;лица;;
Курара, 2006;Журавли;насадили;насадить;VERB;;множественное;;прошедшее;;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;нож;нож;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;оружие;
Курара, 2006;Журавли;Фотопортреты;фотопортрет;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;парапеты;парапет;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;ставки;ставка;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;герои;герой;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;лица;;
Курара, 2006;Журавли;квеста;квест;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;дойдут;дойти;VERB;;множественное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;до;до;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;полюса;полюс;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;Серая;серый;ADJF;женский;единственное;именительный;;;;;;;;;;;;;цвет
Курара, 2006;Журавли;кошка;кошка;NOUN;женский;единственное;именительный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;обнажится;обнажиться;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;по;по;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;пояс;пояс;NOUN;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;слижет;слизать;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;три;три;NUMR;;;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;карты;карта;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;и;и;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;кинет;кинуть;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;стакан;стакан;NOUN;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;инструменты;посуда;
Курара, 2006;Журавли;Медленно;медленно;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;слепо;слепо;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;по;по;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;ветру;ветер;NOUN;мужской;единственное;дательный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;летят;лететь;VERB;;множественное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;журавли;журавль;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;животные;;
Курара, 2006;Журавли;на;на;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;тех;тот;APRO;;множественное;родительный;;;;;;;;;;;;;
Курара, 2006;Журавли;кассетах;кассета;NOUN;женский;множественное;предложный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;останется;остаться;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Курара, 2006;Журавли;капля;капля;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;любви;любовь;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;За;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;нами;мы;NPRO;;множественное;творительный;;1;;;;;;;;;;;
Курара, 2006;Журавли;лето;лето;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;нами;мы;NPRO;;множественное;творительный;;1;;;;;;;;;;;
Курара, 2006;Журавли;топить;топить;INFN;;;;;;;несовершенный;;;;;переходный;;;;
Курара, 2006;Журавли;корабли;корабль;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Курара, 2006;Журавли;за;за;PREP;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;краем;край;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;света;свет;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;Журавли;выходим;выходить;VERB;;множественное;;будущее;1;изъявительное;совершенный;;;;;переходный;;;;
Курара, 2006;Журавли;всё;всё;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;Журавли;впереди;впереди;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;На память;Снегом;снег;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;материалы;;
Курара, 2006;На память;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;снегом;снег;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;материалы;;
Курара, 2006;На память;дождём;дождь;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;На память;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;дождём;дождь;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Курара, 2006;На память;а;а;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;На память;все-таки;всё-таки;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;помним;помнить;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;переходный;;;;
Курара, 2006;На память;мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Курара, 2006;На память;помним;помнить;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;переходный;;;;
Курара, 2006;На память;Бегом;бегом;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;На память;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;бегом;бегом;ADVB;;;;;;;;;;;;;;;;
Курара, 2006;На память;идём;идти;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;На память;не;не;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;идём;идти;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Курара, 2006;На память;а;а;CONJ;;;;;;;;;;;;;;;;
Курара, 2006;На память;все-таки;всё-таки;PRCL;;;;;;;;;;;;;;;;
Курара, 2006;На память;гоним;гонимый;ADJS;мужской;единственное;;;;;;;;;;;;;;
